Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Chile,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Chile,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Chile,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Chile,"Gen-Probe GTI Diagnostics, Inc."
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Chile,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,China,"Beijing Rose Co-Win Medical Tech. Co., Ltd. "
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,China,"Beijing Rose Co-Win Medical Tech. Co., Ltd. "
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,China,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,China,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,China,"Beijing Rose Co-Win Medical Tech. Co., Ltd. "
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,China,"Beijing Rose Co-Win Medical Tech. Co., Ltd. "
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,China,"Beijing Rose Co-Win Medical Tech. Co., Ltd. "
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,China,"Beijing Rose Co-Win Medical Tech. Co., Ltd. "
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,China,"Zhuhai Bioyamei Investment Co., Ltd."
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,China,"Zhuhai Bioyamei Investment Co., Ltd."
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Columbia,Biosciences SAS
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Columbia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Czech Republic,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Czech Republic,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Czech Republic,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Czech Republic,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Czech Republic,Inno-Train Diagnostics GmbH
